# Среднее число занятых каналов k
Lambda,Theoretical,Experimental
2,00,0,996933,0,988000
4,00,1,926606,1,968000
6,00,2,669837,2,820000
8,00,3,203733,3,584000
10,00,3,575661,3,900000
12,00,3,837597,4,392000
14,00,4,026964,4,844000
16,00,4,167934,4,800000
18,00,4,275828,5,328000
20,00,4,360478,5,280000
22,00,4,428343,5,808000
